====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    =  H   Energy = 50000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  145070.E-10  899294.E-14
100001.E-02  222103.E-10  850497.E-12
150001.E-02  188632.E-10  153987.E-10
200001.E-02  153801.E-10  506919.E-11
250001.E-02  133227.E-10  427928.E-11
300001.E-02  132037.E-10  000000.E+00
350001.E-02  135648.E-10  189846.E-11
400001.E-02  138141.E-10  173834.E-10
450001.E-02  137802.E-10  239213.E-11
500001.E-02  163233.E-10  499651.E-11
550001.E-02  186168.E-10  232748.E-10
600001.E-02  172904.E-10  892367.E-10
650001.E-02  131571.E-10  229054.E-10
700001.E-02  130252.E-10  504636.E-12
750001.E-02  257920.E-10  217353.E-10
800001.E-02  192702.E-10  154848.E-10
850001.E-02  269813.E-10  123124.E-10
900001.E-02  249857.E-10  240868.E-10
950001.E-02  206188.E-10  601384.E-10
100000.E-01  286293.E-10  413787.E-10
105000.E-01  389115.E-10  220453.E-14
110000.E-01  389728.E-10  000000.E+00
115000.E-01  389728.E-10  000000.E+00
120000.E-01  390032.E-10  159333.E-11
125000.E-01  390306.E-10  000000.E+00
130000.E-01  390306.E-10  000000.E+00
135000.E-01  390306.E-10  000000.E+00
140000.E-01  390306.E-10  000000.E+00
145000.E-01  390306.E-10  000000.E+00
150000.E-01  390219.E-10  323608.E-11
155000.E-01  367605.E-10  590684.E-10
160000.E-01  365334.E-10  126388.E-10
165000.E-01  372006.E-10  000000.E+00
170000.E-01  372006.E-10  000000.E+00
175000.E-01  357575.E-10  146449.E-09
180000.E-01  279010.E-10  000000.E+00
185000.E-01  279010.E-10  000000.E+00
190000.E-01  270895.E-10  222220.E-12
195000.E-01  152103.E-10  000000.E+00
200000.E-01  152103.E-10  000000.E+00
205000.E-01  152103.E-10  000000.E+00
210000.E-01  152103.E-10  000000.E+00
215000.E-01  152103.E-10  000000.E+00
220000.E-01  152381.E-10  683647.E-11
225000.E-01  153728.E-10  000000.E+00
230000.E-01  153728.E-10  000000.E+00
235000.E-01  160813.E-10  229013.E-10
240000.E-01  141582.E-10  000000.E+00
245000.E-01  141582.E-10  000000.E+00
250000.E-01  143311.E-10  424579.E-11
255000.E-01  154772.E-10  000000.E+00
260000.E-01  154772.E-10  000000.E+00
265000.E-01  154772.E-10  000000.E+00
270000.E-01  154772.E-10  000000.E+00
275000.E-01  154772.E-10  000000.E+00
280000.E-01  292352.E-10  416223.E-10
285000.E-01  345761.E-10  239254.E-10
290000.E-01  340386.E-10  000000.E+00
295000.E-01  349327.E-10  349589.E-10
300000.E-01  352075.E-10  508876.E-10
305000.E-01  349166.E-10  543396.E-11
310000.E-01  344983.E-10  000000.E+00
315000.E-01  337241.E-10  148182.E-10
320000.E-01  333043.E-10  000000.E+00
325000.E-01  328847.E-10  606885.E-11
330000.E-01  324521.E-10  183439.E-12
335000.E-01  325410.E-10  000000.E+00
340000.E-01  327072.E-10  474892.E-11
345000.E-01  334100.E-10  000000.E+00
350000.E-01  334100.E-10  000000.E+00
355000.E-01  334100.E-10  000000.E+00
360000.E-01  334100.E-10  000000.E+00
365000.E-01  167794.E-10  406121.E-10
370000.E-01  127240.E-10  200331.E-11
375000.E-01  125098.E-10  251792.E-11
380000.E-01  131928.E-10  179674.E-11
385000.E-01  125731.E-10  792661.E-10
390000.E-01  179488.E-10  805402.E-12
395000.E-01  181339.E-10  000000.E+00
400000.E-01  171774.E-10  103200.E-10
405000.E-01  163154.E-10  000000.E+00
410000.E-01  163462.E-10  231881.E-10
415000.E-01  188422.E-10  257929.E-10
420000.E-01  196817.E-10  181770.E-11
425000.E-01  162435.E-10  721053.E-10
430000.E-01  136280.E-10  142477.E-10
435000.E-01  139776.E-10  464052.E-11
440000.E-01  145059.E-10  834325.E-11
445000.E-01  138200.E-10  519793.E-10
450000.E-01  158251.E-10  189259.E-10
455000.E-01  112639.E-10  116146.E-10
460000.E-01  137625.E-10  100239.E-10
465000.E-01  160067.E-10  266788.E-11
470000.E-01  151397.E-10  161750.E-10
475000.E-01  143053.E-10  750411.E-11
480000.E-01  143188.E-10  532339.E-11
485000.E-01  152713.E-10  404590.E-11
490000.E-01  158138.E-10  232028.E-10
495000.E-01  124150.E-10  429293.E-10
500000.E-01  283306.E-10  361751.E-10
