====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    =  H   Energy = 70000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width = 40000.E+00 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     Absorbed     Absorbed     
   (Ang.)       IONS       by  Al       by  Si       by   O       by  Si       
----------   ------------  -----------  -----------  -----------  -----------  
500010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
250001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
650001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
700001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
750001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
800001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
850001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
950001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
105000.E-01  6086.04E-08  0000.00E+00  0000.00E+00  0000.00E+00  6086.04E-08  
110000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
115000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
120000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
125000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
130000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
135000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
140000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
145000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
150000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
155000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
160000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
165000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
170000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
175000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
180000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
185000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
190000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
195000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
200000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
205000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
210000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
215000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
220000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
225000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
230000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
235000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
240000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
245000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
250000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
255000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
260000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
265000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
270000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
275000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
280000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
285000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
290000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
295000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
300000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
305000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
310000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
315000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
320000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
325000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
330000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
335000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
340000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
345000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
350000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
355000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
360000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
365000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
370000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
375000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
380000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
385000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
390000.E-01  6114.50E-08  0000.00E+00  0000.00E+00  0000.00E+00  6114.50E-08  
395000.E-01  -3494.39E-07 0000.00E+00  0000.00E+00  0000.00E+00  9499.66E-08  
400000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
405000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
410000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
415000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
420000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
425000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
430000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
435000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
440000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
445000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
450000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
455000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
460000.E-01  3175.63E-07  0000.00E+00  0000.00E+00  0000.00E+00  3175.63E-07  
465000.E-01  -3402.28E-07 0000.00E+00  0000.00E+00  0000.00E+00  1042.08E-07  
470000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
475000.E-01  6805.72E-06  0000.00E+00  0000.00E+00  0000.00E+00  6805.72E-06  
480000.E-01  7536.93E-06  0000.00E+00  0000.00E+00  0000.00E+00  7981.36E-06  
