====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    =  H   Energy = 70000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  2379.72E-04  0000.00E+00
100001.E-02  2376.51E-04  0000.00E+00
150001.E-02  2079.76E-04  0000.00E+00
200001.E-02  2276.65E-04  0000.00E+00
250001.E-02  2352.77E-04  0000.00E+00
300001.E-02  1902.87E-04  0000.00E+00
350001.E-02  2215.06E-04  0000.00E+00
400001.E-02  1909.90E-04  0000.00E+00
450001.E-02  1508.31E-04  0000.00E+00
500001.E-02  1188.26E-04  0000.00E+00
550001.E-02  1119.67E-04  0000.00E+00
600001.E-02  9130.64E-05  0000.00E+00
650001.E-02  1259.73E-04  0000.00E+00
700001.E-02  1466.24E-04  0000.00E+00
750001.E-02  1475.75E-04  0000.00E+00
800001.E-02  2244.58E-04  0000.00E+00
850001.E-02  2167.08E-04  0000.00E+00
900001.E-02  1863.28E-04  0000.00E+00
950001.E-02  2539.58E-04  0000.00E+00
100000.E-01  1926.32E-04  0000.00E+00
105000.E-01  1383.20E-04  0000.00E+00
110000.E-01  1382.62E-04  0000.00E+00
115000.E-01  1714.60E-04  0000.00E+00
120000.E-01  2078.24E-04  0000.00E+00
125000.E-01  2484.89E-04  0000.00E+00
130000.E-01  2565.01E-04  0000.00E+00
135000.E-01  2626.59E-04  0000.00E+00
140000.E-01  2799.62E-04  0000.00E+00
145000.E-01  2799.62E-04  0000.00E+00
150000.E-01  2799.62E-04  0000.00E+00
155000.E-01  2799.62E-04  0000.00E+00
160000.E-01  2799.62E-04  0000.00E+00
165000.E-01  2673.84E-04  0000.00E+00
170000.E-01  2628.60E-04  0000.00E+00
175000.E-01  2456.18E-04  0000.00E+00
180000.E-01  2234.47E-04  0000.00E+00
185000.E-01  2234.47E-04  0000.00E+00
190000.E-01  2364.14E-04  0000.00E+00
195000.E-01  2506.32E-04  0000.00E+00
200000.E-01  2403.00E-04  0000.00E+00
205000.E-01  2112.19E-04  0000.00E+00
210000.E-01  1797.38E-04  0000.00E+00
215000.E-01  1979.29E-04  0000.00E+00
220000.E-01  2011.92E-04  0000.00E+00
225000.E-01  2217.12E-04  0000.00E+00
230000.E-01  2217.12E-04  0000.00E+00
235000.E-01  2128.20E-04  0000.00E+00
240000.E-01  1723.54E-04  0000.00E+00
245000.E-01  1718.06E-04  0000.00E+00
250000.E-01  1718.06E-04  0000.00E+00
255000.E-01  1718.06E-04  0000.00E+00
260000.E-01  1829.90E-04  0000.00E+00
265000.E-01  2112.20E-04  0000.00E+00
270000.E-01  2112.20E-04  0000.00E+00
275000.E-01  2112.22E-04  0000.00E+00
280000.E-01  2121.44E-04  0000.00E+00
285000.E-01  2408.04E-04  0000.00E+00
290000.E-01  2181.27E-04  0000.00E+00
295000.E-01  2192.88E-04  0000.00E+00
300000.E-01  2398.38E-04  0000.00E+00
305000.E-01  3009.97E-04  0000.00E+00
310000.E-01  3111.71E-04  0000.00E+00
315000.E-01  3226.11E-04  0000.00E+00
320000.E-01  3226.11E-04  0000.00E+00
325000.E-01  3226.11E-04  0000.00E+00
330000.E-01  3226.11E-04  0000.00E+00
335000.E-01  3226.11E-04  0000.00E+00
340000.E-01  3226.11E-04  0000.00E+00
345000.E-01  3226.11E-04  0000.00E+00
350000.E-01  3226.12E-04  0000.00E+00
355000.E-01  2827.10E-04  0000.00E+00
360000.E-01  2437.84E-04  0000.00E+00
365000.E-01  2409.33E-04  0000.00E+00
370000.E-01  2043.68E-04  0000.00E+00
375000.E-01  2043.68E-04  0000.00E+00
380000.E-01  2043.69E-04  0000.00E+00
385000.E-01  2043.69E-04  0000.00E+00
390000.E-01  2043.69E-04  0000.00E+00
395000.E-01  2043.70E-04  5995.85E-07
400000.E-01  2458.92E-04  0000.00E+00
405000.E-01  2497.12E-04  0000.00E+00
410000.E-01  2343.65E-04  0000.00E+00
415000.E-01  2212.05E-04  0000.00E+00
420000.E-01  2383.90E-04  0000.00E+00
425000.E-01  2721.96E-04  0000.00E+00
430000.E-01  2579.35E-04  0000.00E+00
435000.E-01  2839.76E-04  0000.00E+00
440000.E-01  2540.37E-04  0000.00E+00
445000.E-01  2460.35E-04  0000.00E+00
450000.E-01  2396.44E-04  0000.00E+00
455000.E-01  2275.58E-04  0000.00E+00
460000.E-01  2364.95E-04  0000.00E+00
465000.E-01  2627.86E-04  4099.62E-08
470000.E-01  2179.97E-04  0000.00E+00
475000.E-01  1598.54E-04  0000.00E+00
480000.E-01  1298.25E-04  3290.24E-06
485000.E-01  1315.61E-04  0000.00E+00
490000.E-01  1713.58E-04  0000.00E+00
495000.E-01  1791.16E-04  0000.00E+00
500000.E-01  1539.13E-04  0000.00E+00
