====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = He   Energy = 10000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width = 40000.E+00 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.04
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     Absorbed     Absorbed     
   (Ang.)       IONS       by  Al       by  Si       by   O       by  Si       
----------   ------------  -----------  -----------  -----------  -----------  
500010.E-03  1852.79E-06  1852.79E-06  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  1862.26E-06  1862.26E-06  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  1862.26E-06  1862.26E-06  0000.00E+00  0000.00E+00  0000.00E+00  
200001.E-02  1862.26E-06  1862.26E-06  0000.00E+00  0000.00E+00  0000.00E+00  
250001.E-02  -4148.62E-07 2485.52E-07  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
500001.E-02  6607.81E-06  0000.00E+00  0000.00E+00  6607.81E-06  0000.00E+00  
550001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
600001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
650001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
700001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
750001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
800001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
850001.E-02  9992.34E-06  0000.00E+00  0000.00E+00  9992.34E-06  0000.00E+00  
900001.E-02  5606.99E-06  0000.00E+00  0000.00E+00  6270.41E-06  0000.00E+00  
950001.E-02  4389.65E-06  4389.65E-06  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E-01  8258.40E-07  1489.25E-06  0000.00E+00  0000.00E+00  0000.00E+00  
105000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
115000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
125000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
135000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
145000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
155000.E-01  2448.99E-07  0000.00E+00  0000.00E+00  0000.00E+00  2448.99E-07  
160000.E-01  3411.52E-07  0000.00E+00  0000.00E+00  0000.00E+00  3411.52E-07  
165000.E-01  3411.52E-07  0000.00E+00  0000.00E+00  0000.00E+00  3411.52E-07  
170000.E-01  6997.57E-07  0000.00E+00  0000.00E+00  0000.00E+00  6997.57E-07  
175000.E-01  2206.15E-06  0000.00E+00  0000.00E+00  0000.00E+00  2206.15E-06  
180000.E-01  2762.76E-06  0000.00E+00  0000.00E+00  0000.00E+00  2762.76E-06  
185000.E-01  2762.76E-06  0000.00E+00  0000.00E+00  0000.00E+00  2762.76E-06  
190000.E-01  2762.76E-06  0000.00E+00  0000.00E+00  0000.00E+00  2762.76E-06  
195000.E-01  2762.76E-06  0000.00E+00  0000.00E+00  0000.00E+00  2762.76E-06  
200000.E-01  2762.76E-06  0000.00E+00  0000.00E+00  0000.00E+00  2762.76E-06  
205000.E-01  2163.15E-06  0000.00E+00  0000.00E+00  0000.00E+00  2605.43E-06  
210000.E-01  3350.80E-07  0000.00E+00  0000.00E+00  0000.00E+00  1219.63E-06  
215000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
220000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
225000.E-01  1028.37E-05  0000.00E+00  0000.00E+00  0000.00E+00  1028.37E-05  
230000.E-01  1268.40E-05  0000.00E+00  0000.00E+00  0000.00E+00  1268.40E-05  
235000.E-01  1343.36E-05  0000.00E+00  0000.00E+00  0000.00E+00  1343.36E-05  
240000.E-01  1372.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1372.16E-05  
245000.E-01  1372.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1372.16E-05  
250000.E-01  1372.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1372.16E-05  
255000.E-01  1372.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1372.16E-05  
260000.E-01  1372.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1372.16E-05  
265000.E-01  1375.16E-05  0000.00E+00  0000.00E+00  0000.00E+00  1375.16E-05  
270000.E-01  1329.41E-05  0000.00E+00  0000.00E+00  0000.00E+00  1373.64E-05  
275000.E-01  7841.89E-07  0000.00E+00  0000.00E+00  0000.00E+00  1226.47E-06  
280000.E-01  2314.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  2314.78E-07  
285000.E-01  2314.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  2314.78E-07  
290000.E-01  2314.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  2314.78E-07  
295000.E-01  2314.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  2314.78E-07  
300000.E-01  2314.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  2314.78E-07  
305000.E-01  7437.78E-07  0000.00E+00  0000.00E+00  0000.00E+00  7437.78E-07  
310000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
315000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
320000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
325000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
330000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
335000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
340000.E-01  7763.02E-07  0000.00E+00  0000.00E+00  0000.00E+00  7763.02E-07  
345000.E-01  1044.77E-07  0000.00E+00  0000.00E+00  0000.00E+00  5467.54E-07  
350000.E-01  5448.24E-07  0000.00E+00  0000.00E+00  0000.00E+00  5448.24E-07  
355000.E-01  5448.24E-07  0000.00E+00  0000.00E+00  0000.00E+00  5448.24E-07  
360000.E-01  -2383.87E-07 0000.00E+00  0000.00E+00  0000.00E+00  2038.89E-07  
365000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
370000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
375000.E-01  2084.13E-07  0000.00E+00  0000.00E+00  0000.00E+00  2084.13E-07  
380000.E-01  2486.41E-07  0000.00E+00  0000.00E+00  0000.00E+00  2486.41E-07  
385000.E-01  2486.41E-07  0000.00E+00  0000.00E+00  0000.00E+00  2486.41E-07  
390000.E-01  7334.74E-07  0000.00E+00  0000.00E+00  0000.00E+00  7334.74E-07  
395000.E-01  1037.90E-06  0000.00E+00  0000.00E+00  0000.00E+00  1037.90E-06  
400000.E-01  1037.90E-06  0000.00E+00  0000.00E+00  0000.00E+00  1037.90E-06  
405000.E-01  1465.19E-06  0000.00E+00  0000.00E+00  0000.00E+00  1465.19E-06  
410000.E-01  1547.53E-06  0000.00E+00  0000.00E+00  0000.00E+00  1547.53E-06  
415000.E-01  1547.53E-06  0000.00E+00  0000.00E+00  0000.00E+00  1547.53E-06  
420000.E-01  1547.53E-06  0000.00E+00  0000.00E+00  0000.00E+00  1547.53E-06  
425000.E-01  1547.53E-06  0000.00E+00  0000.00E+00  0000.00E+00  1547.53E-06  
430000.E-01  8671.66E-07  0000.00E+00  0000.00E+00  0000.00E+00  1309.44E-06  
435000.E-01  7582.70E-07  0000.00E+00  0000.00E+00  0000.00E+00  7582.70E-07  
440000.E-01  9947.91E-08  0000.00E+00  0000.00E+00  0000.00E+00  5417.56E-07  
445000.E-01  2486.41E-07  0000.00E+00  0000.00E+00  0000.00E+00  2486.41E-07  
450000.E-01  2486.41E-07  0000.00E+00  0000.00E+00  0000.00E+00  2486.41E-07  
455000.E-01  -3016.66E-07 0000.00E+00  0000.00E+00  0000.00E+00  1406.11E-07  
460000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
465000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
470000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
