====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = He   Energy = 100000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.00
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  307095.E-09  947315.E-11
100001.E-02  291309.E-09  105587.E-08
150001.E-02  891224.E-10  000000.E+00
200001.E-02  891852.E-10  520298.E-11
250001.E-02  909341.E-10  174064.E-10
300001.E-02  912759.E-10  000000.E+00
350001.E-02  710858.E-10  157817.E-09
400001.E-02  755900.E-10  955367.E-10
450001.E-02  656932.E-09  000000.E+00
500001.E-02  662590.E-09  647314.E-08
550001.E-02  664521.E-09  141094.E-10
600001.E-02  659244.E-09  153140.E-09
650001.E-02  404402.E-09  157068.E-09
700001.E-02  122620.E-08  177494.E-10
750001.E-02  546395.E-09  272229.E-09
800001.E-02  118691.E-09  790515.E-10
850001.E-02  805790.E-10  185705.E-09
900001.E-02  699596.E-10  161461.E-09
950001.E-02  818666.E-10  982727.E-10
100000.E-01  105760.E-09  176368.E-09
105000.E-01  138731.E-09  343925.E-11
110000.E-01  137950.E-09  000000.E+00
115000.E-01  137950.E-09  000000.E+00
120000.E-01  142205.E-09  505228.E-10
125000.E-01  146986.E-09  327253.E-10
130000.E-01  134690.E-09  000000.E+00
135000.E-01  134690.E-09  000000.E+00
140000.E-01  134690.E-09  000000.E+00
145000.E-01  134690.E-09  000000.E+00
150000.E-01  134690.E-09  000000.E+00
155000.E-01  134690.E-09  000000.E+00
160000.E-01  139806.E-09  460921.E-10
165000.E-01  141063.E-09  000000.E+00
170000.E-01  141880.E-09  417368.E-10
175000.E-01  146384.E-09  341558.E-11
180000.E-01  146416.E-09  000000.E+00
185000.E-01  124300.E-09  764841.E-10
190000.E-01  120040.E-09  637686.E-10
195000.E-01  119963.E-09  000000.E+00
200000.E-01  119963.E-09  000000.E+00
205000.E-01  119611.E-09  225371.E-10
210000.E-01  202770.E-09  206230.E-10
215000.E-01  419107.E-09  000000.E+00
220000.E-01  419107.E-09  000000.E+00
225000.E-01  419107.E-09  000000.E+00
230000.E-01  419107.E-09  000000.E+00
235000.E-01  273029.E-09  141349.E-09
240000.E-01  160990.E-09  568387.E-10
245000.E-01  157498.E-09  139713.E-08
250000.E-01  148767.E-09  220215.E-09
255000.E-01  147091.E-09  000000.E+00
260000.E-01  147091.E-09  000000.E+00
265000.E-01  147089.E-09  222199.E-12
270000.E-01  125215.E-09  171687.E-10
275000.E-01  111156.E-09  237007.E-10
280000.E-01  110906.E-09  000000.E+00
285000.E-01  110906.E-09  000000.E+00
290000.E-01  111994.E-09  700199.E-10
295000.E-01  112863.E-09  655220.E-09
300000.E-01  113101.E-09  000000.E+00
305000.E-01  113101.E-09  000000.E+00
310000.E-01  113101.E-09  000000.E+00
315000.E-01  113101.E-09  000000.E+00
320000.E-01  113101.E-09  000000.E+00
325000.E-01  113101.E-09  000000.E+00
330000.E-01  113101.E-09  000000.E+00
335000.E-01  118760.E-09  142401.E-07
340000.E-01  119369.E-09  000000.E+00
345000.E-01  120179.E-09  601332.E-10
350000.E-01  128447.E-09  205085.E-10
355000.E-01  141454.E-09  152010.E-09
360000.E-01  143626.E-09  000000.E+00
365000.E-01  143626.E-09  000000.E+00
370000.E-01  165181.E-09  128680.E-09
375000.E-01  168057.E-09  100509.E-09
380000.E-01  164826.E-09  000000.E+00
385000.E-01  166859.E-09  110003.E-09
390000.E-01  171435.E-09  141349.E-09
395000.E-01  165191.E-09  000000.E+00
400000.E-01  165010.E-09  388044.E-10
405000.E-01  156057.E-09  131898.E-09
410000.E-01  152898.E-09  350335.E-09
415000.E-01  123903.E-09  236556.E-09
420000.E-01  115602.E-09  189833.E-09
425000.E-01  104827.E-09  151176.E-09
430000.E-01  103736.E-09  000000.E+00
435000.E-01  103850.E-09  595769.E-11
440000.E-01  702980.E-10  161012.E-09
445000.E-01  509094.E-09  368721.E-10
450000.E-01  940812.E-09  377923.E-10
455000.E-01  593686.E-09  713785.E-09
460000.E-01  237075.E-09  139055.E-09
465000.E-01  246946.E-09  213796.E-09
470000.E-01  241705.E-09  542640.E-10
475000.E-01  225986.E-09  274808.E-09
480000.E-01  274808.E-09  476906.E-10
485000.E-01  210539.E-09  184228.E-09
490000.E-01  930353.E-10  325351.E-09
495000.E-01  107332.E-08  565265.E-09
500000.E-01  239897.E-09  236469.E-09
