====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = He   Energy = 80000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.00
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  2085.68E-03  0000.00E+00
100001.E-02  2145.37E-03  0000.00E+00
150001.E-02  1846.39E-03  0000.00E+00
200001.E-02  1934.81E-03  0000.00E+00
250001.E-02  1858.07E-03  0000.00E+00
300001.E-02  2108.89E-03  0000.00E+00
350001.E-02  1967.10E-03  0000.00E+00
400001.E-02  2177.79E-03  0000.00E+00
450001.E-02  2298.37E-03  0000.00E+00
500001.E-02  2175.21E-03  5796.13E-09
550001.E-02  1992.87E-03  0000.00E+00
600001.E-02  1993.58E-03  0000.00E+00
650001.E-02  1492.61E-03  0000.00E+00
700001.E-02  1264.18E-03  0000.00E+00
750001.E-02  1881.61E-03  0000.00E+00
800001.E-02  2055.90E-03  0000.00E+00
850001.E-02  1876.05E-03  0000.00E+00
900001.E-02  2482.25E-03  0000.00E+00
950001.E-02  2585.58E-03  0000.00E+00
100000.E-01  1804.20E-03  0000.00E+00
105000.E-01  2470.76E-03  0000.00E+00
110000.E-01  2274.63E-03  0000.00E+00
115000.E-01  2557.98E-03  0000.00E+00
120000.E-01  2579.39E-03  0000.00E+00
125000.E-01  2485.04E-03  0000.00E+00
130000.E-01  2334.90E-03  0000.00E+00
135000.E-01  2334.90E-03  0000.00E+00
140000.E-01  2334.90E-03  0000.00E+00
145000.E-01  2536.50E-03  0000.00E+00
150000.E-01  2599.32E-03  0000.00E+00
155000.E-01  2599.32E-03  0000.00E+00
160000.E-01  2542.37E-03  0000.00E+00
165000.E-01  2498.96E-03  0000.00E+00
170000.E-01  2498.96E-03  0000.00E+00
175000.E-01  2498.96E-03  0000.00E+00
180000.E-01  2498.96E-03  0000.00E+00
185000.E-01  2498.96E-03  0000.00E+00
190000.E-01  2520.02E-03  5941.46E-08
195000.E-01  2745.76E-03  0000.00E+00
200000.E-01  2635.10E-03  0000.00E+00
205000.E-01  2688.72E-03  0000.00E+00
210000.E-01  2882.30E-03  0000.00E+00
215000.E-01  2882.30E-03  0000.00E+00
220000.E-01  2820.48E-03  0000.00E+00
225000.E-01  2803.21E-03  0000.00E+00
230000.E-01  2803.21E-03  0000.00E+00
235000.E-01  2792.03E-03  0000.00E+00
240000.E-01  2506.74E-03  0000.00E+00
245000.E-01  2384.54E-03  0000.00E+00
250000.E-01  2384.54E-03  0000.00E+00
255000.E-01  2384.54E-03  0000.00E+00
260000.E-01  2087.86E-03  0000.00E+00
265000.E-01  2191.09E-03  0000.00E+00
270000.E-01  2355.97E-03  0000.00E+00
275000.E-01  2406.87E-03  0000.00E+00
280000.E-01  2425.19E-03  0000.00E+00
285000.E-01  2245.25E-03  0000.00E+00
290000.E-01  1974.18E-03  0000.00E+00
295000.E-01  1995.38E-03  0000.00E+00
300000.E-01  2074.83E-03  0000.00E+00
305000.E-01  2101.37E-03  0000.00E+00
310000.E-01  1872.20E-03  0000.00E+00
315000.E-01  1872.20E-03  0000.00E+00
320000.E-01  2036.98E-03  0000.00E+00
325000.E-01  2231.75E-03  0000.00E+00
330000.E-01  2287.38E-03  0000.00E+00
335000.E-01  2361.52E-03  0000.00E+00
340000.E-01  2238.55E-03  0000.00E+00
345000.E-01  2238.55E-03  0000.00E+00
350000.E-01  2238.55E-03  0000.00E+00
355000.E-01  2238.55E-03  0000.00E+00
360000.E-01  2238.55E-03  0000.00E+00
365000.E-01  2095.27E-03  1358.20E-07
370000.E-01  2073.76E-03  0000.00E+00
375000.E-01  2100.02E-03  2221.90E-10
380000.E-01  2147.08E-03  0000.00E+00
385000.E-01  2114.65E-03  2765.96E-07
390000.E-01  2258.11E-03  1473.10E-08
395000.E-01  2232.59E-03  0000.00E+00
400000.E-01  2209.93E-03  0000.00E+00
405000.E-01  2007.84E-03  0000.00E+00
410000.E-01  2088.71E-03  0000.00E+00
415000.E-01  2302.03E-03  0000.00E+00
420000.E-01  2403.84E-03  0000.00E+00
425000.E-01  2581.66E-03  0000.00E+00
430000.E-01  2451.34E-03  0000.00E+00
435000.E-01  2325.59E-03  0000.00E+00
440000.E-01  2236.89E-03  8909.32E-08
445000.E-01  2080.90E-03  0000.00E+00
450000.E-01  2370.74E-03  0000.00E+00
455000.E-01  2335.94E-03  0000.00E+00
460000.E-01  1453.47E-03  0000.00E+00
465000.E-01  1382.69E-03  0000.00E+00
470000.E-01  1547.06E-03  5158.33E-08
475000.E-01  1577.02E-03  0000.00E+00
480000.E-01  1519.53E-03  0000.00E+00
485000.E-01  1434.10E-03  0000.00E+00
490000.E-01  9880.24E-04  1419.63E-06
495000.E-01  1532.42E-03  0000.00E+00
500000.E-01  2464.02E-03  0000.00E+00
