====== pysrim run =======
        SRIM-2013.00
========================================
      Ion and Recoil IONIZATION     
 See SRIM Outputs\TDATA.txt for details   
========================================
 See file :  SRIM Outputs\TDATA.txt   for calculation data
 Ion    = Li   Energy = 15000 keV
============= TARGET MATERIAL ======================================
Layer 1 : None
Layer Width = 10000.E+00 A ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer 2 : None
Layer Width = 40000.E+00 A ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =000009.08
===============================================================
  Ionization Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===============================================================
---------------------------------------------------------------
-  NOTE: Because of the application of straggling to the ion  -
-  energy, Ionization is not accurate for less than 20 ions!  -
---------------------------------------------------------------

  TARGET       IONIZ.       IONIZ.  
  DEPTH         by           by     
  (Ang)        IONS         RECOILS 
-----------  -----------  -----------
500010.E-03  2639.97E-02  0000.00E+00
100001.E-02  2654.78E-02  0000.00E+00
150001.E-02  2662.35E-02  1503.69E-07
200001.E-02  2699.75E-02  1792.56E-07
250001.E-02  2641.58E-02  3655.40E-07
300001.E-02  2704.16E-02  0000.00E+00
350001.E-02  2647.78E-02  1204.30E-07
400001.E-02  2484.13E-02  1608.69E-07
450001.E-02  2460.87E-02  1185.47E-07
500001.E-02  2507.92E-02  1788.72E-07
550001.E-02  2552.39E-02  9472.19E-08
600001.E-02  2590.52E-02  1480.35E-07
650001.E-02  2543.53E-02  4015.58E-07
700001.E-02  2587.19E-02  1512.70E-06
750001.E-02  2525.36E-02  3610.32E-07
800001.E-02  2618.29E-02  1541.96E-07
850001.E-02  2671.18E-02  1656.49E-07
900001.E-02  2628.31E-02  5609.38E-07
950001.E-02  2393.30E-02  1997.57E-07
100000.E-01  2714.47E-02  4223.74E-07
105000.E-01  2595.11E-02  0000.00E+00
110000.E-01  2538.50E-02  5481.64E-08
115000.E-01  2562.12E-02  0000.00E+00
120000.E-01  2539.56E-02  2260.34E-07
125000.E-01  2572.81E-02  1476.62E-07
130000.E-01  2546.69E-02  2518.32E-07
135000.E-01  2630.41E-02  0000.00E+00
140000.E-01  2585.51E-02  1010.51E-07
145000.E-01  2570.85E-02  1151.17E-07
150000.E-01  2499.65E-02  9506.76E-07
155000.E-01  2563.85E-02  1092.86E-07
160000.E-01  2436.62E-02  1897.20E-07
165000.E-01  2625.70E-02  1879.68E-08
170000.E-01  2487.09E-02  1535.60E-07
175000.E-01  2572.02E-02  1640.23E-06
180000.E-01  2520.43E-02  1195.89E-06
185000.E-01  2615.95E-02  2682.91E-06
190000.E-01  2540.34E-02  1405.23E-06
195000.E-01  2581.86E-02  1463.91E-07
200000.E-01  2574.80E-02  2884.57E-06
205000.E-01  2472.62E-02  7820.74E-08
210000.E-01  2543.88E-02  3570.73E-07
215000.E-01  2440.71E-02  7518.97E-07
220000.E-01  2428.78E-02  6718.14E-08
225000.E-01  2506.03E-02  2876.12E-07
230000.E-01  2513.92E-02  2831.70E-06
235000.E-01  2498.82E-02  5545.38E-07
240000.E-01  2559.23E-02  4247.52E-07
245000.E-01  2691.80E-02  2507.98E-07
250000.E-01  2759.08E-02  1292.53E-07
255000.E-01  2746.75E-02  0000.00E+00
260000.E-01  2842.22E-02  6568.34E-06
265000.E-01  2820.05E-02  9022.03E-08
270000.E-01  2802.15E-02  4460.07E-07
275000.E-01  2744.45E-02  3183.47E-06
280000.E-01  2775.81E-02  5361.68E-07
285000.E-01  2755.12E-02  0000.00E+00
290000.E-01  2709.99E-02  1452.37E-06
295000.E-01  2627.12E-02  5098.73E-07
300000.E-01  2604.74E-02  1642.33E-07
305000.E-01  2625.52E-02  1000.31E-07
310000.E-01  2585.20E-02  5358.64E-07
315000.E-01  2570.02E-02  2624.53E-07
320000.E-01  2470.68E-02  2221.91E-08
325000.E-01  2469.56E-02  0000.00E+00
330000.E-01  2457.09E-02  1252.58E-06
335000.E-01  2503.64E-02  2367.14E-07
340000.E-01  2614.14E-02  1050.16E-06
345000.E-01  2603.59E-02  7022.87E-08
350000.E-01  2530.35E-02  1466.84E-07
355000.E-01  2497.87E-02  1364.81E-07
360000.E-01  2505.19E-02  7084.72E-08
365000.E-01  2533.91E-02  6091.24E-07
370000.E-01  2527.10E-02  4135.75E-07
375000.E-01  2488.19E-02  1645.48E-07
380000.E-01  2473.23E-02  8419.63E-08
385000.E-01  2489.26E-02  2263.13E-07
390000.E-01  2479.02E-02  0000.00E+00
395000.E-01  2601.12E-02  5485.75E-07
400000.E-01  2694.45E-02  1502.34E-07
405000.E-01  2783.41E-02  7868.48E-06
410000.E-01  2814.03E-02  0000.00E+00
415000.E-01  2587.06E-02  3105.87E-04
420000.E-01  2737.99E-02  3187.40E-07
425000.E-01  2748.04E-02  3736.17E-07
430000.E-01  2498.00E-02  1985.40E-09
435000.E-01  2606.44E-02  2778.50E-07
440000.E-01  2632.28E-02  0000.00E+00
445000.E-01  2684.23E-02  2616.19E-07
450000.E-01  2641.43E-02  0000.00E+00
455000.E-01  2584.50E-02  4619.41E-07
460000.E-01  2507.52E-02  1090.29E-06
465000.E-01  2432.80E-02  9224.96E-08
470000.E-01  2458.32E-02  3945.22E-06
475000.E-01  2377.84E-02  0000.00E+00
480000.E-01  2467.10E-02  0000.00E+00
485000.E-01  2518.60E-02  1623.07E-06
490000.E-01  2495.64E-02  2016.31E-07
495000.E-01  2968.73E-02  1594.86E-06
500000.E-01  2651.43E-02  7127.74E-07
