====== pysrim run =======
        SRIM-2013.00
======================================== 
       Ion and Recoil PHONONS        
 See SRIM Outputs\TDATA.txt for calc. details
======================================== 
 See file :  SRIM Outputs\TDATA.txt calculation data
 Ion    = Li   Energy = 15000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width =     1.E+04 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width =     4.E+04 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.08
========================================================
  Table Units are  >>>> Phonons /(Angstrom-Ion)  <<<<  
========================================================
  DEPTH       PHONONS     PHONONS    
  (Ang.)      by ION      by RECOILS 
-----------  -----------  -----------
500010.E-03  306926.E-08  310871.E-10
100001.E-02  306725.E-08  000000.E+00
150001.E-02  295883.E-08  274980.E-09
200001.E-02  237074.E-08  483938.E-09
250001.E-02  285156.E-08  170713.E-08
300001.E-02  267355.E-08  211013.E-09
350001.E-02  274064.E-08  567169.E-09
400001.E-02  172119.E-08  405200.E-09
450001.E-02  193803.E-08  338794.E-09
500001.E-02  253336.E-08  377070.E-08
550001.E-02  258270.E-08  367945.E-09
600001.E-02  210774.E-08  518110.E-09
650001.E-02  198579.E-08  303250.E-08
700001.E-02  241187.E-08  136215.E-07
750001.E-02  229353.E-08  374800.E-08
800001.E-02  243858.E-08  614053.E-08
850001.E-02  387606.E-08  173423.E-08
900001.E-02  321577.E-08  272652.E-08
950001.E-02  127405.E-08  846594.E-09
100000.E-01  305438.E-08  292816.E-08
105000.E-01  180736.E-08  191567.E-09
110000.E-01  193979.E-08  856564.E-09
115000.E-01  209735.E-08  000000.E+00
120000.E-01  204248.E-08  340546.E-09
125000.E-01  203251.E-08  390634.E-09
130000.E-01  180713.E-08  759659.E-09
135000.E-01  160528.E-08  153710.E-09
140000.E-01  161683.E-08  602508.E-09
145000.E-01  272623.E-08  492780.E-09
150000.E-01  301312.E-08  477850.E-08
155000.E-01  175636.E-08  298854.E-09
160000.E-01  149348.E-08  954349.E-09
165000.E-01  167959.E-08  734058.E-09
170000.E-01  167841.E-08  339034.E-09
175000.E-01  861203.E-09  454939.E-08
180000.E-01  117062.E-08  838265.E-08
185000.E-01  179468.E-08  628495.E-08
190000.E-01  219293.E-08  709763.E-08
195000.E-01  221625.E-08  811485.E-09
200000.E-01  188999.E-08  102848.E-07
205000.E-01  192453.E-08  556911.E-09
210000.E-01  162684.E-08  344884.E-08
215000.E-01  141664.E-08  244940.E-08
220000.E-01  137765.E-08  147694.E-09
225000.E-01  968762.E-09  532951.E-09
230000.E-01  959495.E-09  107863.E-07
235000.E-01  124082.E-08  218637.E-08
240000.E-01  158982.E-08  165824.E-08
245000.E-01  230123.E-08  666380.E-09
250000.E-01  230552.E-08  360596.E-09
255000.E-01  239585.E-08  000000.E+00
260000.E-01  172096.E-08  172960.E-07
265000.E-01  110422.E-08  286574.E-09
270000.E-01  121844.E-08  193005.E-08
275000.E-01  115631.E-08  177697.E-07
280000.E-01  135322.E-08  153181.E-08
285000.E-01  222705.E-08  442843.E-09
290000.E-01  310774.E-08  381472.E-08
295000.E-01  302388.E-08  471107.E-08
300000.E-01  299094.E-08  645251.E-09
305000.E-01  379231.E-08  406663.E-09
310000.E-01  292764.E-08  318028.E-08
315000.E-01  293404.E-08  315170.E-08
320000.E-01  126733.E-08  214922.E-09
325000.E-01  120758.E-08  000000.E+00
330000.E-01  148579.E-08  898229.E-08
335000.E-01  186448.E-08  663758.E-09
340000.E-01  185906.E-08  225260.E-08
345000.E-01  189809.E-08  153710.E-09
350000.E-01  187697.E-08  497934.E-09
355000.E-01  190100.E-08  338794.E-09
360000.E-01  197117.E-08  409715.E-09
365000.E-01  203383.E-08  282550.E-08
370000.E-01  201132.E-08  908355.E-09
375000.E-01  163194.E-08  421725.E-09
380000.E-01  138454.E-08  350502.E-09
385000.E-01  132548.E-08  209852.E-08
390000.E-01  132206.E-08  327431.E-09
395000.E-01  116439.E-08  162274.E-08
400000.E-01  133054.E-08  546439.E-09
405000.E-01  153688.E-08  316350.E-07
410000.E-01  205533.E-08  335334.E-09
415000.E-01  266513.E-08  418996.E-06
420000.E-01  324206.E-08  146895.E-08
425000.E-01  391984.E-08  152030.E-08
430000.E-01  385432.E-08  687647.E-09
435000.E-01  301772.E-08  115912.E-08
440000.E-01  254722.E-08  214971.E-09
445000.E-01  262117.E-08  675594.E-09
450000.E-01  270117.E-08  000000.E+00
455000.E-01  238089.E-08  118174.E-08
460000.E-01  226686.E-08  294032.E-08
465000.E-01  169189.E-08  208328.E-09
470000.E-01  125894.E-08  899545.E-08
475000.E-01  128096.E-08  000000.E+00
480000.E-01  118105.E-08  494983.E-09
485000.E-01  115030.E-08  723693.E-08
490000.E-01  126007.E-08  773299.E-09
495000.E-01  209044.E-08  556642.E-08
500000.E-01  419273.E-08  466432.E-08
