====== pysrim run =======
        SRIM-2013.00
=======================================
    Energy transferred to RECOILS      
 See SRIM Outputs\TDATA.txt for calc. details 
=======================================
 See file: SRIM Outputs\TDATA.txt for data about the calculation
 Ion    = Li   Energy = 20000 keV
============= TARGET MATERIAL ======================================
Layer  1 : None
Layer Width = 10000.E+00 AAA ;
  Layer # 1- Density = 6.087E22 atoms/cm3 = 2.28 g/cm3
  Layer # 1- Al = 17   Atomic Percent = 20.3 Mass Percent
  Layer # 1- Si = 38.8 Atomic Percent = 48.3 Mass Percent
  Layer # 1-  O = 44.2 Atomic Percent = 31.3 Mass Percent
Layer  2 : None
Layer Width = 40000.E+00 AAA ;
  Layer # 2- Density = 4.977E22 atoms/cm3 = 2.321 g/cm3
  Layer # 2- Si = 100  Atomic Percent = 100  Mass Percent
====================================================================
 Total Ions calculated =9.05
===========================================================
  Table Energy Units are  >>>>  eV /(Angstrom-Ion)  <<<<  
===========================================================
   DEPTH       ENERGY      Energy       Energy       Energy       Energy       
   DEPTH        from       Absorbed     Absorbed     Absorbed     Absorbed     
   (Ang.)       IONS       by  Al       by  Si       by   O       by  Si       
----------   ------------  -----------  -----------  -----------  -----------  
500010.E-03  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
100001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
150001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
200001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
250001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
300001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
350001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
400001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
450001.E-02  8524.93E-06  0000.00E+00  0000.00E+00  9188.19E-06  0000.00E+00  
500001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
550001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
600001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
650001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
700001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
750001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
800001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
850001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
900001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
950001.E-02  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
100000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
105000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
110000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
115000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
120000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
125000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
130000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
135000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
140000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
145000.E-01  2704.71E-07  0000.00E+00  0000.00E+00  0000.00E+00  2704.71E-07  
150000.E-01  2902.65E-06  0000.00E+00  0000.00E+00  0000.00E+00  2902.65E-06  
155000.E-01  3431.71E-06  0000.00E+00  0000.00E+00  0000.00E+00  3431.71E-06  
160000.E-01  3431.71E-06  0000.00E+00  0000.00E+00  0000.00E+00  3431.71E-06  
165000.E-01  3431.71E-06  0000.00E+00  0000.00E+00  0000.00E+00  3431.71E-06  
170000.E-01  3431.71E-06  0000.00E+00  0000.00E+00  0000.00E+00  3431.71E-06  
175000.E-01  3431.71E-06  0000.00E+00  0000.00E+00  0000.00E+00  3431.71E-06  
180000.E-01  4024.35E-06  0000.00E+00  0000.00E+00  0000.00E+00  4024.35E-06  
185000.E-01  3417.91E-06  0000.00E+00  0000.00E+00  0000.00E+00  3860.09E-06  
190000.E-01  2740.15E-06  0000.00E+00  0000.00E+00  0000.00E+00  3182.32E-06  
195000.E-01  2936.35E-06  0000.00E+00  0000.00E+00  0000.00E+00  2936.35E-06  
200000.E-01  1463.40E-06  0000.00E+00  0000.00E+00  0000.00E+00  2347.75E-06  
205000.E-01  1366.66E-06  0000.00E+00  0000.00E+00  0000.00E+00  1366.66E-06  
210000.E-01  1366.66E-06  0000.00E+00  0000.00E+00  0000.00E+00  1366.66E-06  
215000.E-01  1366.66E-06  0000.00E+00  0000.00E+00  0000.00E+00  1366.66E-06  
220000.E-01  2757.38E-06  0000.00E+00  0000.00E+00  0000.00E+00  2757.38E-06  
225000.E-01  2473.87E-06  0000.00E+00  0000.00E+00  0000.00E+00  2916.05E-06  
230000.E-01  1803.87E-06  0000.00E+00  0000.00E+00  0000.00E+00  2246.05E-06  
235000.E-01  2072.00E-06  0000.00E+00  0000.00E+00  0000.00E+00  2072.00E-06  
240000.E-01  1219.94E-06  0000.00E+00  0000.00E+00  0000.00E+00  1662.12E-06  
245000.E-01  1616.69E-06  0000.00E+00  0000.00E+00  0000.00E+00  1616.69E-06  
250000.E-01  -1925.47E-07 0000.00E+00  0000.00E+00  0000.00E+00  2496.29E-07  
255000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
260000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
265000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
270000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
275000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
280000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
285000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
290000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
295000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
300000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
305000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
310000.E-01  8119.68E-08  0000.00E+00  0000.00E+00  0000.00E+00  8119.68E-08  
315000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
320000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
325000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
330000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
335000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
340000.E-01  9584.00E-07  0000.00E+00  0000.00E+00  0000.00E+00  9584.00E-07  
345000.E-01  3445.18E-07  0000.00E+00  0000.00E+00  0000.00E+00  7866.93E-07  
350000.E-01  1547.67E-06  0000.00E+00  0000.00E+00  0000.00E+00  1547.67E-06  
355000.E-01  3362.74E-06  0000.00E+00  0000.00E+00  0000.00E+00  3362.74E-06  
360000.E-01  3362.74E-06  0000.00E+00  0000.00E+00  0000.00E+00  3362.74E-06  
365000.E-01  3887.42E-07  0000.00E+00  0000.00E+00  0000.00E+00  1273.09E-06  
370000.E-01  5355.90E-07  0000.00E+00  0000.00E+00  0000.00E+00  5355.90E-07  
375000.E-01  5964.43E-05  0000.00E+00  0000.00E+00  0000.00E+00  5964.43E-05  
380000.E-01  1145.33E-04  0000.00E+00  0000.00E+00  0000.00E+00  1145.33E-04  
385000.E-01  1228.89E-04  0000.00E+00  0000.00E+00  0000.00E+00  1228.89E-04  
390000.E-01  1232.51E-04  0000.00E+00  0000.00E+00  0000.00E+00  1232.51E-04  
395000.E-01  1232.51E-04  0000.00E+00  0000.00E+00  0000.00E+00  1232.51E-04  
400000.E-01  1232.51E-04  0000.00E+00  0000.00E+00  0000.00E+00  1232.51E-04  
405000.E-01  1227.78E-04  0000.00E+00  0000.00E+00  0000.00E+00  1232.20E-04  
410000.E-01  1227.15E-04  0000.00E+00  0000.00E+00  0000.00E+00  1227.15E-04  
415000.E-01  1227.15E-04  0000.00E+00  0000.00E+00  0000.00E+00  1227.15E-04  
420000.E-01  1189.41E-04  0000.00E+00  0000.00E+00  0000.00E+00  1193.83E-04  
425000.E-01  2863.63E-05  0000.00E+00  0000.00E+00  0000.00E+00  2907.85E-05  
430000.E-01  -4369.70E-07 0000.00E+00  0000.00E+00  0000.00E+00  5205.48E-09  
435000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
440000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
445000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
450000.E-01  9325.84E-07  0000.00E+00  0000.00E+00  0000.00E+00  9325.84E-07  
455000.E-01  1089.79E-06  0000.00E+00  0000.00E+00  0000.00E+00  1089.79E-06  
460000.E-01  1089.79E-06  0000.00E+00  0000.00E+00  0000.00E+00  1089.79E-06  
465000.E-01  4532.71E-07  0000.00E+00  0000.00E+00  0000.00E+00  8954.46E-07  
470000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
475000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
480000.E-01  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  0000.00E+00  
